ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands
,simple,CLO-121,,Men's Performance Polo,1,0,visible,,"A moisture-wicking polo shirt designed for active wear. Perfect for golf or a casual day out.",,,taxable,,1,,,0,0,,,,,1,,,39.99,"Men > T-Shirts",,,https://images.pexels.com/photos/428340/pexels-photo-428340.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-122,,Women's High-Waist Leggings,1,0,visible,,"Stretchy and supportive high-waist leggings, perfect for yoga, running, or casual comfort.",,,taxable,,1,,,0,0,,,,,1,,,49.99,"Women > Pants",,,https://images.pexels.com/photos/1852382/pexels-photo-1852382.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-123,,Classic Leather Belt,1,0,visible,,"Made from 100% genuine leather with a timeless silver buckle. A wardrobe essential.",,,taxable,,1,,,0,0,,,,,1,,,34.50,"Accessories > Belts",,,https://images.pexels.com/photos/1183266/pexels-photo-1183266.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-124,,Unisex Aviator Sunglasses,1,0,visible,,"Classic aviator sunglasses with 100% UV protection and a lightweight metal frame.",,,taxable,,1,,,0,0,,,,,1,,,55.00,"Accessories > Sunglasses",,,https://images.pexels.com/photos/2204560/pexels-photo-2204560.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-125,,Men's Bomber Jacket,1,0,visible,,"A stylish nylon bomber jacket with a quilted lining. Perfect for transitional weather.",,,taxable,,1,,,0,0,,,,,1,,,89.99,"Men > Jackets",,,https://images.pexels.com/photos/3755706/pexels-photo-3755706.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-126,,Women's Floral Maxi Dress,1,0,visible,,"A flowing, floor-length maxi dress with a beautiful floral print and v-neckline.",,,taxable,,1,,,0,0,,,,,1,,,79.99,"Women > Dresses",,,https://images.pexels.com/photos/5082490/pexels-photo-5082490.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-127,,Men's Cargo Shorts,1,0,visible,,"Durable cotton cargo shorts with multiple pockets for utility and style. Knee-length fit.",,,taxable,,1,,,0,0,,,,,1,,,45.00,"Men > Pants > Shorts",,,https://images.pexels.com/photos/4066291/pexels-photo-4066291.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-128,,Women's Denim Jacket,1,0,visible,,"A timeless denim jacket in a medium wash. Perfect for layering over any outfit.",,,taxable,,1,,,0,0,,,,,1,,,69.50,"Women > Jackets",,,https://images.pexels.com/photos/1656684/pexels-photo-1656684.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-129,,Unisex Sports Backpack,1,0,visible,,"A durable, water-resistant backpack with a laptop sleeve and multiple compartments.",,,taxable,,1,,,0,0,,,,,1,,,59.99,"Accessories > Bags",,,https://images.pexels.com/photos/7679883/pexels-photo-7679883.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-130,,Men's V-Neck Sweater,1,0,visible,,"A soft, fine-knit v-neck sweater made from a premium cotton-cashmere blend.",,,taxable,,1,,,0,0,,,,,1,,,64.99,"Men > Knitwear",,,https://images.pexels.com/photos/4965545/pexels-photo-4965545.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
